file,class,reasoner,iterations,time,n_subsumers,subsumers
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000023,3,,,5,"['BFO_0000023', 'BFO_0000020', 'BFO_0000002', 'BFO_0000001', 'BFO_0000017']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000023,1,5,0.2617,5,"['BFO_0000023', 'BFO_0000017', 'BFO_0000002', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000023,2,5,0.1921,5,"['BFO_0000023', 'BFO_0000017', 'BFO_0000002', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000009,3,,,6,"['BFO_0000141', 'BFO_0000006', 'BFO_0000004', 'BFO_0000002', 'BFO_0000001', 'BFO_0000009']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000009,1,6,0.3013,6,"['BFO_0000006', 'BFO_0000004', 'BFO_0000141', 'BFO_0000009', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000009,2,6,0.1829,6,"['BFO_0000006', 'BFO_0000004', 'BFO_0000141', 'BFO_0000009', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000141,3,,,4,"['BFO_0000141', 'BFO_0000004', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000141,1,4,0.1835,4,"['BFO_0000002', 'BFO_0000004', 'BFO_0000141', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000141,2,4,0.2139,4,"['BFO_0000002', 'BFO_0000004', 'BFO_0000141', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000011,3,,,3,"['BFO_0000003', 'BFO_0000001', 'BFO_0000011']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000011,1,3,0.2739,3,"['BFO_0000011', 'BFO_0000003', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000011,2,3,0.1746,3,"['BFO_0000011', 'BFO_0000003', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000147,3,,,6,"['BFO_0000140', 'BFO_0000141', 'BFO_0000004', 'BFO_0000002', 'BFO_0000001', 'BFO_0000147']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000147,1,6,0.5265,6,"['BFO_0000004', 'BFO_0000140', 'BFO_0000147', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000147,2,6,0.2562,6,"['BFO_0000004', 'BFO_0000140', 'BFO_0000147', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000034,3,,,6,"['BFO_0000016', 'BFO_0000020', 'BFO_0000002', 'BFO_0000001', 'BFO_0000017', 'BFO_0000034']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000034,1,6,0.3477,6,"['BFO_0000017', 'BFO_0000034', 'BFO_0000002', 'BFO_0000020', 'BFO_0000001', 'BFO_0000016']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000034,2,6,0.3887,6,"['BFO_0000017', 'BFO_0000034', 'BFO_0000002', 'BFO_0000020', 'BFO_0000001', 'BFO_0000016']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000142,3,,,6,"['BFO_0000140', 'BFO_0000141', 'BFO_0000004', 'BFO_0000002', 'BFO_0000001', 'BFO_0000142']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000142,1,6,0.3079,6,"['BFO_0000004', 'BFO_0000142', 'BFO_0000140', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000142,2,6,0.3521,6,"['BFO_0000004', 'BFO_0000142', 'BFO_0000140', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000020,3,,,3,"['BFO_0000020', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000020,1,3,0.1075,3,"['BFO_0000002', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000020,2,3,0.1703,3,"['BFO_0000002', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000024,3,,,5,"['BFO_0000004', 'BFO_0000040', 'BFO_0000002', 'BFO_0000001', 'BFO_0000024']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000024,1,5,0.1755,5,"['BFO_0000004', 'BFO_0000040', 'BFO_0000024', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000024,2,5,0.2236,5,"['BFO_0000004', 'BFO_0000040', 'BFO_0000024', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000027,3,,,5,"['BFO_0000004', 'BFO_0000040', 'BFO_0000002', 'BFO_0000027', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000027,1,5,0.1838,5,"['BFO_0000004', 'BFO_0000040', 'BFO_0000002', 'BFO_0000001', 'BFO_0000027']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000027,2,5,0.2344,5,"['BFO_0000004', 'BFO_0000040', 'BFO_0000002', 'BFO_0000001', 'BFO_0000027']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000019,3,,,4,"['BFO_0000020', 'BFO_0000002', 'BFO_0000019', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000019,1,4,0.2392,4,"['BFO_0000002', 'BFO_0000019', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000019,2,4,0.1844,4,"['BFO_0000002', 'BFO_0000019', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000031,3,,,3,"['BFO_0000002', 'BFO_0000031', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000031,1,3,0.1655,3,"['BFO_0000002', 'BFO_0000031', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000031,2,3,0.1027,3,"['BFO_0000002', 'BFO_0000031', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000145,3,,,5,"['BFO_0000020', 'BFO_0000002', 'BFO_0000019', 'BFO_0000001', 'BFO_0000145']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000145,1,5,0.2268,5,"['BFO_0000019', 'BFO_0000145', 'BFO_0000002', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000145,2,5,0.2013,5,"['BFO_0000019', 'BFO_0000145', 'BFO_0000002', 'BFO_0000020', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000040,3,,,4,"['BFO_0000004', 'BFO_0000002', 'BFO_0000040', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000040,1,4,0.2052,4,"['BFO_0000002', 'BFO_0000040', 'BFO_0000001', 'BFO_0000004']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000040,2,4,0.1897,4,"['BFO_0000002', 'BFO_0000040', 'BFO_0000001', 'BFO_0000004']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000029,3,,,5,"['BFO_0000141', 'BFO_0000004', 'BFO_0000002', 'BFO_0000029', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000029,1,5,0.2884,5,"['BFO_0000004', 'BFO_0000029', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000029,2,5,0.2933,5,"['BFO_0000004', 'BFO_0000029', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000016,3,,,5,"['BFO_0000016', 'BFO_0000020', 'BFO_0000002', 'BFO_0000001', 'BFO_0000017']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000016,1,5,0.2234,5,"['BFO_0000017', 'BFO_0000002', 'BFO_0000020', 'BFO_0000001', 'BFO_0000016']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000016,2,5,0.2168,5,"['BFO_0000017', 'BFO_0000002', 'BFO_0000020', 'BFO_0000001', 'BFO_0000016']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000003,3,,,2,"['BFO_0000003', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000003,1,2,0.101,2,"['BFO_0000001', 'BFO_0000003']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000003,2,2,0.0591,2,"['BFO_0000001', 'BFO_0000003']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000140,3,,,5,"['BFO_0000140', 'BFO_0000141', 'BFO_0000004', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000140,1,5,0.2125,5,"['BFO_0000004', 'BFO_0000140', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000140,2,5,0.2748,5,"['BFO_0000004', 'BFO_0000140', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000006,3,,,5,"['BFO_0000141', 'BFO_0000006', 'BFO_0000004', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000006,1,5,0.1859,5,"['BFO_0000006', 'BFO_0000004', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000006,2,5,0.2687,5,"['BFO_0000006', 'BFO_0000004', 'BFO_0000141', 'BFO_0000002', 'BFO_0000001']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000144,3,,,4,"['BFO_0000015', 'BFO_0000003', 'BFO_0000001', 'BFO_0000144']"
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000144,1,4,0.1822,4,"['BFO_0000001', 'BFO_0000144', 'BFO_0000003', 'BFO_0000015']"
